t=2026-02-15T17:43:34+0000 lvl=info msg="no configuration paths supplied"
t=2026-02-15T17:43:34+0000 lvl=info msg="using configuration at default config path" path=/home/noclout/.config/ngrok/ngrok.yml
t=2026-02-15T17:43:34+0000 lvl=info msg="open config file" path=/home/noclout/.config/ngrok/ngrok.yml err=nil
t=2026-02-15T17:43:34+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-15T17:43:34+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-15T17:43:34+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-15T17:43:35+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://unoccluded-aura-derivationally.ngrok-free.dev
t=2026-02-15T17:43:35+0000 lvl=info msg="update available" obj=updater
t=2026-02-15T17:43:43+0000 lvl=info msg="join connections" obj=join id=b873791900a2 l=127.0.0.1:3000 r=58.8.148.144:38779
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=cf37d6053a8e l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=7555cec7b436 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=6a78c9ea7189 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=dfc519835d76 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=ae3f691c25f4 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=7399d1c286b1 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=d813fb71b5ef l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=0d710983a16a l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=feb802a50c19 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=b10f310a267f l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=75cacbb24449 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=7bf319e5ad1b l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=32c76f57ac98 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=fb7b725e3b07 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=b79c37518353 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=98dd623d88c7 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=40f42681eeec l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=182982591f91 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=e7700d913e6a l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=fa6fa6a4abc0 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=d76c88ce0db3 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=484ffe0fb95b l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=ed5f54aba70f l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=074af63c5146 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=efcf50e5a4ab l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=b0d1bc98324d l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=405ed3b9193d l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=927b457f496b l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
t=2026-02-15T17:46:00+0000 lvl=info msg="join connections" obj=join id=08df9a2f1664 l=127.0.0.1:3000 r=[2001:fb1:cc:e12b:5424:bebb:ab7:428a]:52900
