student_id,exam_date,exam_time,course_code,course_name,section,room,floor,building,row,seat,student_name
6701091610331,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-223,2,78,13,3,N/A
6701091610340,19 มี.ค. 2569,13:00-16:00,80203917,FINANCIAL PLANNING AND INVESTMEN,1,31-21103,11,นวมินทรราชินี,3,2,N/A
6701091610374,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-223,2,78,13,5,N/A
6701091610391,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-223,2,78,13,7,N/A
6701091610404,19 มี.ค. 2569,13:00-16:00,80203917,FINANCIAL PLANNING AND INVESTMEN,1,31-21103,11,นวมินทรราชินี,3,3,N/A
6701091610412,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-223,2,78,13,9,N/A
6701091610421,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-223,2,78,13,11,N/A
6701091611010,16 มี.ค. 2569,13:00-16:00,80203908,DEV OF QUA LIFE IN WORK & SOC,5,78-316,3,78,3,1,N/A
6701091611036,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-223,2,78,15,1,N/A
6701091611052,16 มี.ค. 2569,13:00-16:00,80203908,DEV OF QUA LIFE IN WORK & SOC,5,78-316,3,78,3,2,N/A
6701091611052,19 มี.ค. 2569,13:00-16:00,80203917,FINANCIAL PLANNING AND INVESTMEN,1,31-21103,11,นวมินทรราชินี,3,4,N/A
6701091611117,16 มี.ค. 2569,13:00-16:00,80203908,DEV OF QUA LIFE IN WORK & SOC,5,78-316,3,78,3,3,N/A
6701091611168,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-223,2,78,15,36,N/A
6701091611249,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-223,2,78,15,5,N/A
6701091611257,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-309,3,78,1,1,N/A
6701091611290,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-309,3,78,1,2,N/A
6701091611346,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-309,3,78,1,3,N/A
6701091611371,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-309,3,78,1,4,N/A
6701091611389,23 มี.ค. 2569,16:30-19:30,40433001,INTRODUCTION TO FOOD ENTREPRENEURSHIP,1,78-309,3,78,1,5,N/A
6701091611401,16 มี.ค. 2569,13:00-16:00,80203908,DEV OF QUA LIFE IN WORK & SOC,5,78-316,3,78,3,4,N/A
6701091611419,16 มี.ค. 2569,13:00-16:00,80203908,DEV OF QUA LIFE IN WORK & SOC,5,78-316,3,78,3,5,N/A
6701091611427,16 มี.ค. 2569,13:00-16:00,80203908,DEV OF QUA LIFE IN WORK & SOC,5,78-316,3,78,3,6,N/A
6701091611443,16 มี.ค. 2569,13:00-16:00,80203908,DEV OF QUA LIFE IN WORK & SOC,5,78-316,3,78,4,1,N/A
6701091611451,27 มี.ค. 2569,13:00-16:00,40203103,DATA SCIENCE FOR DAILY LIFE,1,78-1201,12,78,1,1,N/A
